Editor,Status,,Act,Code,Div,Chapter,#,Text of Statute,Breakdown,Date Logged,Logger,Summary
,,(cultivator) comply w/ agricultural employer requirements,,,,,26051.5(a)(8),"(8) For an applicant seeking a cultivation license, provide a statement declaring the applicant is an “agricultural employer,” as defined in the Alatorre-Zenovich-Dunlap-Berman Agricultural Labor Relations Act of 1975 (Part 3.5 (commencing with Section 1140) of Division 2 of the Labor Code), to the extent not prohibited by law.","If you want a cultivation license, declare yourself as an ""agricultural employer"" and check for more labor-related compliance requirements. (see L.C. Section 1140)",03/16/2018,,
,,"Provide extra info, if requested",,,,,26051.5(a)(7),"(7) Provide any other information required by the licensing authority.
",Comply with requests by BCC for more information,03/16/2018,,
,,,,,,,,,,,,
CD,,Licensee Obligations,,,,,,,,,,
,,No anti-competitive or monopoly practices,,,,,26052(a)-(c),"(a) A licensee shall not perform any of the following acts, or permit any of the following acts to be performed by any employee, agent, or contractor of the licensee:
(1) Make any contract in restraint of trade in violation of Section 16600.
(2) Form a trust or other prohibited organization in restraint of trade in violation of Section 16720.
(3) Make a sale or contract for the sale of cannabis or cannabis products, or to fix a price charged therefor, or discount from, or rebate upon, that price, on the condition, agreement, or understanding that the consumer or purchaser thereof shall not use or deal in the goods, merchandise, machinery, supplies, commodities, or services of a competitor or competitors of the seller, where the effect of that sale, contract, condition, agreement, or understanding may be to substantially lessen competition or tend to create a monopoly in any line of trade or commerce.
(4) Sell any cannabis or cannabis products at less than cost for the purpose of injuring competitors, destroying competition, or misleading or deceiving purchasers or prospective purchasers.
(5) Discriminate between different sections, communities, or cities or portions thereof, or between different locations in those sections, communities, or cities or portions thereof in this state, by selling or furnishing cannabis or cannabis products at a lower price in one section, community, or city or any portion thereof, or in one location in that section, community, or city or any portion thereof, than in another, for the purpose of injuring competitors or destroying competition.
(6) Sell any cannabis or cannabis products at less than the cost thereof to such vendor, or to give away any article or product for the purpose of injuring competitors or destroying competition.
(b) Any person who, either as director, officer, or agent of any firm or corporation, or as agent of any person, violates the provisions of this chapter, or assists or aids, directly or indirectly, in that violation is responsible therefor equally with the person, firm, or corporation for which that person acts.
(c) Any person or trade association may bring an action to enjoin and restrain any violation of this section for the recovery of damages.","You can't price fix, intentinoally sabotage competitors, or try to create a monopoly on cannabis products.",03/16/2018,,
,,Only conduct activity with other licensees,,,,,26053(a),"(a) All commercial cannabis activity shall be conducted between licensees, except as otherwise provided in this division.","As a rule of thumb, your business activities under your license cannot deal with non-licensed parties.",03/16/2018,,
,,Do not sell alcohol or tobacco on site,,,,,26054(a) ,(a) A licensee shall not sell alcoholic beverages or tobacco products on or at any premises licensed under this division.,You can't sell alcohol or tobacco where cannabis is sold. ,03/16/2018,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MDH,,Cultivation Sites,,,,,,,,,,
,,Applicability of Regulation; Water Diversion and Discharge ,,,,,§ 26060,,,,,
,,Water Supply Source; Cultivation License Conditions ,,,,,§ 26060.1,,,,,
                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,State Cultivator License Types ,,,,,26061,,,,,
,,Organic Designation and Cultivation ,,,,,26062,,,,,
,,"Representation, Sale or Offer of Organic Cannibis",,,,,26062.5,,,,,
,,Designation of County of Origin ,,,,,26063,,,,,
,,Cultivation in Compliance with Environmental Assessment ,,,,,26066,,,,,
MDH,,"Retailers, Distributors, Microbusiness",,BPC,10,Chapter 7,§ 26070-70.5,,,,,
,,"Definitions and Requirements for Retailers, Distributors & Microbusiness ",,,,,§ 26070,"(a) State licenses to be issued by the bureau related to the sale and distribution of cannabis and cannabis products are as follows:
(1) “Retailer,” for the retail sale and delivery of cannabis or cannabis products to customers. A retailer shall have a licensed premises which is a physical location from which commercial cannabis activities are conducted. A retailer’s premises may be closed to the public. A retailer may conduct sales exclusively by delivery.
(2) “Distributor,” for the distribution of cannabis and cannabis products. A distributor licensee shall be bonded and insured at a minimum level established by the licensing authority.
(3) 
(A) “Microbusiness,” for the cultivation of cannabis on an area less than 10,000 square feet and to act as a licensed distributor, Level 1 manufacturer, and retailer under this division, provided such licensee can demonstrate compliance with all requirements imposed by this division on licensed cultivators, distributors, Level 1 manufacturers, and retailers to the extent the licensee engages in such activities. Microbusiness licenses that authorize cultivation of cannabis shall include the license conditions described in subdivision (b) of Section 26060.1.
(B) In coordination with each other, the licensing authorities shall establish a process by which an applicant for a microbusiness license can demonstrate compliance with all the requirements under this division for the activities that will be conducted under the license.
(C) The bureau may enter into interagency agreements with licensing authorities to implement and enforce the provisions of this division related to microbusinesses. The costs of activities carried out by the licensing authorities as requested by the bureau pursuant to the interagency agreement shall be calculated into the application and licensing fees collected pursuant to this division, and shall provide for reimbursement to state agencies for associated costs as provided for in the interagency agreement.
(b) The bureau shall establish minimum security and transportation safety requirements for the commercial distribution and delivery of cannabis and cannabis products. Except as provided in subdivision (d) of Section 26110, the transportation of cannabis and cannabis products shall only be conducted by persons holding a distributor license under this division or employees of those persons. Transportation safety standards established by the bureau shall include, but not be limited to, minimum standards governing the types of vehicles in which cannabis and cannabis products may be distributed and delivered and minimum qualifications for persons eligible to operate such vehicles.
(c) The driver of a vehicle transporting or transferring cannabis or cannabis products shall be directly employed by a licensee authorized to transport or transfer cannabis or cannabis products.
(d) Notwithstanding any other law, all vehicles transporting cannabis and cannabis products for hire shall be required to have a valid motor carrier permit pursuant to Chapter 2 (commencing with Section 34620) of Division 14.85 of the Vehicle Code. The Department of the California Highway Patrol shall have authority over the safe operation of these vehicles, including, but not limited to, requiring licensees engaged in the transportation of cannabis or cannabis products to participate in the Basic Inspection of Terminals (BIT) program pursuant to Section 34501.12 of the Vehicle Code.
(e) Prior to transporting cannabis or cannabis products, a licensed distributor shall do both of the following:
(1) Complete an electronic shipping manifest as prescribed by the licensing authority. The shipping manifest shall include the unique identifier, pursuant to Section 26069, issued by the Department of Food and Agriculture for the original cannabis product.
(2) Securely transmit the manifest to the bureau and the licensee that will receive the cannabis product. The bureau shall inform the Department of Food and Agriculture of information pertaining to commercial cannabis activity for the purpose of the track and trace program identified in Section 26067.
(f) During transportation, the licensed distributor shall maintain a physical copy of the shipping manifest and make it available upon request to agents of the Department of Consumer Affairs and law enforcement officers.
(g) The licensee receiving the shipment shall maintain each electronic shipping manifest and shall make it available upon request to the Department of Consumer Affairs and any law enforcement officers.
(h) Upon receipt of the transported shipment, the licensee receiving the shipment shall submit to the licensing authority a record verifying receipt of the shipment and the details of the shipment.
(i) Transporting, or arranging for or facilitating the transport of, cannabis or cannabis products in violation of this chapter is grounds for disciplinary action against the license.
(j) Licensed retailers and microbusinesses, and licensed nonprofits under Section 26070.5, shall implement security measures reasonably designed to prevent unauthorized entrance into areas containing cannabis or cannabis products and theft of cannabis or cannabis products from the premises. These security measures shall include, but not be limited to, all of the following:
(1) Prohibiting individuals from remaining on the licensee’s premises if they are not engaging in activity expressly related to the operations of the retailer.
(2) Establishing limited access areas accessible only to authorized personnel.
(3) Other than limited amounts of cannabis used for display purposes, samples, or immediate sale, storing all finished cannabis and cannabis products in a secured and locked room, safe, or vault, and in a manner reasonably designed to prevent diversion, theft, and loss.
(k) A retailer shall notify the licensing authority and the appropriate law enforcement authorities within 24 hours after discovering any of the following:
(1) Significant discrepancies identified during inventory. The level of significance shall be determined by the bureau.
(2) Diversion, theft, loss, or any criminal activity pertaining to the operation of the retailer.
(3) Diversion, theft, loss, or any criminal activity by any agent or employee of the retailer pertaining to the operation of the retailer.
(4) The loss or unauthorized alteration of records related to cannabis or cannabis products, registered qualifying patients, primary caregivers, or retailer employees or agents.
(5) Any other breach of security.
(l) Beginning January 1, 2018, a licensee may sell cannabis or cannabis products that have not been tested for a limited and finite time as determined by the bureau. The cannabis or cannabis products must have a label affixed to each package containing the cannabis or cannabis products that clearly states “This product has not been tested as required by the Medicinal and Adult-Use Cannabis Regulation and Safety Act” and must comply with any other requirement as determined by the bureau.


Cal Bus & Prof Code § 26070",,,,
,,Packaging for Licensed Retailers ,,,,,§ 26070.1,Cannabis or cannabis products purchased by a customer shall not leave a licensed retail premises unless they are placed in an opaque package.,,,,
,,Prohibition against sale of cannibis this alcoholic beverage ,,,,,§ 26070.2,"A licensee shall not sell, offer, or provide a cannabis product that is an alcoholic beverage, including, but not limited to, an infusion of cannabis or cannabinoids derived from industrial hemp into an alcoholic beverage.",,,,
,,Nonprofit Licenses ,,,,,§ 26070.5,"(a) The bureau shall, by January 1, 2020, investigate the feasibility of creating one or more classifications of nonprofit licenses under this section. The feasibility determination shall be made in consultation with the relevant licensing agencies and representatives of local jurisdictions which issue temporary licenses pursuant to subdivision (b). The bureau shall consider factors including, but not limited to, the following:
(1) Should nonprofit licensees be exempted from any or all state taxes, licensing fees, and regulatory provisions applicable to other licenses in this division?
(2) Should funding incentives be created to encourage others licensed under this division to provide professional services at reduced or no cost to nonprofit licensees?
(3) Should nonprofit licenses be limited to, or prioritize those, entities previously operating on a not-for-profit basis primarily providing whole-plant cannabis and cannabis products and a diversity of cannabis strains and seed stock to low-income persons?
(b) Any local jurisdiction may issue temporary local licenses to nonprofit entities primarily providing whole-plant cannabis and cannabis products and a diversity of cannabis strains and seed stock to low-income persons so long as the local jurisdiction does all of the following:
(1) Confirms the license applicant’s status as a nonprofit entity registered with the California Attorney General’s Registry of Charitable Trusts and that the applicant is in good standing with all state requirements governing nonprofit entities.
(2) Licenses and regulates any such entity to protect public health and safety, and so as to require compliance with all environmental requirements in this division.
(3) Provides notice to the bureau of any such local licenses issued, including the name and location of any such licensed entity and all local regulations governing the licensed entity’s operation.
(4) Certifies to the bureau that any such licensed entity will not generate annual gross revenues in excess of two million dollars ($2,000,000).
(c) Temporary local licenses authorized under subdivision (b) shall expire after 12 months unless renewed by the local jurisdiction.
(d) The bureau may impose reasonable additional requirements on the local licenses authorized under subdivision (b).
(e) 
(1) New temporary local licenses shall not be issued pursuant to this section after the date the bureau determines that creation of nonprofit licenses under this division is not feasible, or if the bureau determines that creation of nonprofit licenses under this division is feasible, after the date a licensing agency commences issuing state nonprofit licenses.
(2) If the bureau determines that creation of nonprofit licenses under this division is feasible, no temporary license issued under subdivision (b) shall be renewed or extended after the date on which a licensing agency commences issuing state nonprofit licenses.
(3) If the bureau determines that creation of nonprofit licenses under this division is not feasible, the bureau shall provide notice of this determination to all local jurisdictions that have issued temporary licenses under subdivision (b). The bureau may, in its discretion, permit any such local jurisdiction to renew or extend on an annual basis any temporary license previously issued under subdivision (b).",...,,,
MDH,,Distribution & Transport,,BPC ,10,Chapter 8,§ 26080,,,,,
,,Transportation & distributiion out of state ,,,,,§ 26080a,"(a) This division shall not be construed to authorize or permit a licensee to transport or distribute, or cause to be transported or distributed, cannabis or cannabis products outside the state, unless authorized by federal law.",,,,
,,Local Jurisdiction Preventing Transportation ,,,,,§ 26080b,(b) A local jurisdiction shall not prevent transportation of cannabis or cannabis products on public roads by a licensee transporting cannabis or cannabis products in compliance with this division.,,,,
MDH,,Manufacturers and Cannabis Products,,BPC ,10,Chapter 13,§ 26130-135,,,,,
,,Manufacturer Licenses; Packaging and Labeling Standards ,,,,,§ 26130,"(a) The State Department of Public Health shall promulgate regulations governing the licensing of cannabis manufacturers and standards for the manufacturing, packaging, and labeling of all manufactured cannabis products. Licenses to be issued are as follows:
(1) “Manufacturing Level 1,” for sites that manufacture cannabis products using nonvolatile solvents, or no solvents. A Manufacturing Level 1 M-Type 6 licensee shall only manufacture cannabis products for sale by a retailer with an M-Type 10 license.
(2) “Manufacturing Level 2,” for sites that manufacture cannabis products using volatile solvents.
(b) For purposes of this section, “volatile solvents” shall have the same meaning as in paragraph (3) of subdivision (b) of Section 11362.3 of the Health and Safety Code, unless otherwise provided by law or regulation.
(c) Edible cannabis products shall be:
(1) Not designed to be appealing to children or easily confused with commercially sold candy or foods that do not contain cannabis.
(2) Produced and sold with a standardized concentration of cannabinoids not to exceed 10 milligrams tetrahydrocannabinol (THC) per serving.

(3) Delineated or scored into standardized serving sizes if the cannabis product contains more than one serving and is an edible cannabis product in solid form.

(4) Homogenized to ensure uniform disbursement of cannabinoids throughout the product.
(5) Manufactured and sold under sanitation standards established by the State Department of Public Health, in consultation with the bureau, that are similar to the standards for preparation, storage, handling, and sale of food products.
(6) Provided to customers with sufficient information to enable the informed consumption of the product, including the potential effects of the cannabis product and directions as to how to consume the cannabis product, as necessary.
(7) Marked with a universal symbol, as determined by the State Department of Public Health through regulation.
(d) Cannabis, including concentrated cannabis, included in a cannabis product manufactured in compliance with law is not considered an adulterant under state law.",,,,
,,Adulterated Cannibis Product ,,,,,"§ 26131
","(a) A cannabis product is adulterated if it is any of the following:
(1) It has been produced, prepared, packed, or held under unsanitary conditions in which it may have become contaminated with filth or in which it may have been rendered injurious.
(2) It consists in whole or in part of any filthy, putrid, or decomposed substance.
(3) It bears or contains any poisonous or deleterious substance that may render it injurious to users under the conditions of use suggested in the labeling or under conditions as are customary or usual.
(4) It bears or contains a substance that is restricted or limited under this division or regulations promulgated pursuant to this division and the level of substance in the product exceeds the limits specified pursuant to this division or in regulation.
(5) Its concentrations differ from, or its purity or quality is below, that which it is represented to possess.
(6) The methods, facilities, or controls used for its manufacture, packing, or holding do not conform to, or are not operated or administered in conformity with, practices established by regulations adopted under this division to ensure that the cannabis product meets the requirements of this division as to safety and has the concentrations it purports to have and meets the quality and purity characteristics that it purports or is represented to possess.
(7) Its container is composed, in whole or in part, of any poisonous or deleterious substance that may render the contents injurious to health.
(8) It is an edible cannabis product and a substance has been mixed or packed with it after testing by a testing laboratory so as to reduce its quality or concentration or if any substance has been substituted, wholly or in part, for the edible cannabis product.
(b) It is unlawful for a person to manufacture, sell, deliver, hold, or offer for sale a cannabis product that is adulterated.
(c) It is unlawful for a person to adulterate a cannabis product.
(d) It is unlawful for a person to receive in commerce a cannabis product that is adulterated or to deliver or proffer for delivery any such cannabis product.
",,,,
,,"Notification, Process to Cease Distribution, and Reimbursement Coses to Manufacturer ",,,,,"§ 26132
","(a) When the State Department of Public Health has evidence that a cannabis product is adulterated or misbranded, the department shall notify the manufacturer.
(b) The State Department of Public Health may order a manufacturer to immediately cease distribution of a cannabis product and recall the product if the department determines both of the following:
(1) The manufacture, distribution, or sale of the cannabis product creates or poses an immediate and serious threat to human life or health.
(2) Other procedures available to the State Department of Public Health to remedy or prevent the occurrence of the situation would result in an unreasonable delay.
(c) The State Department of Public Health shall provide the manufacturer an opportunity for an informal proceeding on the matter, as determined by the department, within five days, on the actions required by the order and on why the product should not be recalled. Following the proceeding, the order shall be affirmed, modified, or set aside as determined appropriate by the State Department of Public Health.
(d) The State Department of Public Health’s powers set forth in this section expressly include the power to order movement, segregation, isolation, or destruction of cannabis products, as well as the power to hold those products in place.
(e) If the State Department of Public Health determines it is necessary, it may issue the mandatory recall order and may use all appropriate measures to obtain reimbursement from the manufacturer for any and all costs associated with these orders. All funds obtained by the State Department of Public Health from these efforts shall be deposited into a fee account specific to the State Department of Public Health, to be established in the Cannabis Control Fund, and will be available for use by the department upon appropriation by the Legislature.
(f) It is unlawful for any person to move or allow to be moved a cannabis product subject to an order issued pursuant to this section unless that person has first obtained written authorization from the State Department of Public Health.
",,,,
,,Detention and Diposition of Adulterated and Misbranded Cannibis Product ,,,,, § 26133,"a) If the State Department of Public Health finds or has probable cause to believe that a cannabis product is adulterated or misbranded within the meaning of this division or the sale of the cannabis product would be in violation of this division, the department shall affix to the cannabis product, or component thereof, a tag or other appropriate marking. The State Department of Public Health shall give notice that the cannabis product is, or is suspected of being, adulterated or misbranded, or the sale of the cannabis would be in violation of this division and has been embargoed and that no person shall remove or dispose of the cannabis product by sale or otherwise until permission for removal or disposal is given by the State Department of Public Health or a court.
(b) It is unlawful for a person to remove, sell, or dispose of a detained or embargoed cannabis product without written permission of the State Department of Public Health or a court. A violation of this subdivision is punishable by a fine of not more than ten thousand dollars ($10,000).
(c) If the adulteration or misbranding can be corrected by proper labeling or additional processing of the cannabis product and all of the provisions of this division can be complied with, the licensee or owner may request the State Department of Public Health to remove the tag or other marking. If, under the supervision of the State Department of Public Health, the adulteration or misbranding has been corrected, the department may remove the tag or other marking.
(d) If the State Department of Public Health finds that a cannabis product that is embargoed is not adulterated or misbranded, or that its sale is not otherwise in violation of this division, the State Department of Public Health may remove the tag or other marking.
(e) The cannabis product may be destroyed by the owner pursuant to a corrective action plan approved by the State Department of Public Health and under the supervision of the department. The cannabis product shall be destroyed at the expense of the licensee or owner.
(f) A proceeding for condemnation of a cannabis product under this section shall be subject to appropriate notice to, and the opportunity for a hearing with regard to, the person affected in accordance with Section 26016.
(g) Upon a finding by the administrative law judge that the cannabis product is adulterated or misbranded, or that its sale is otherwise in violation of this division, the administrative law judge may direct the cannabis product to be destroyed at the expense of the licensee or owner. The administrative law judge may also direct a licensee or owner of the affected cannabis product to pay fees and reasonable costs, including the costs of storage and testing, incurred by the bureau or the State Department of Public Health in investigating and prosecuting the action taken pursuant to this section.
(h) When, under the supervision of the State Department of Public Health, the adulteration or misbranding has been corrected by proper labeling or additional processing of the cannabis and cannabis product and when all provisions of this division have been complied with, and after costs, fees, and expenses have been paid, the State Department of Public Health may release the embargo and remove the tag or other marking.
(i) The State Department of Public Health may condemn a cannabis product under provisions of this division. The cannabis product shall be destroyed at the expense of the licensee or owner.",,,,
,,Issuing Citations for Licensee Violations ,,,,,§ 26134,"(a) The State Department of Public Health may issue a citation, which may contain an order of abatement and an order to pay an administrative fine assessed by the department if the licensee is in violation of this division or any regulation adopted pursuant to it.
(1) Citations shall be in writing and shall describe with particularity the nature of the violation, including specific reference to the law determined to have been violated.
(2) If appropriate, the citation shall contain an order of abatement fixing a reasonable time for abatement of the violation.
(3) The administrative fine assessed by the State Department of Public Health shall not exceed five thousand dollars ($5,000) for each violation, unless a different fine amount is expressly provided by this division. In assessing a fine, the department shall give due consideration to the appropriateness of the amount of the fine with respect to factors such as the gravity of the violation, the good faith of the licensee, and the history of previous violations.
(4) A citation issued or a fine assessed pursuant to this section shall notify the licensee that if the licensee desires a hearing to contest the finding of a violation, that hearing shall be requested by written notice to the State Department of Public Health within 30 days of the date of issuance of the citation or fine. If a hearing is not requested pursuant to this section, payment of any fine shall not constitute an admission of the violation charged. Hearings shall be held pursuant to Chapter 5 (commencing with Section 11500) of Part 1 of Division 3 of Title 2 of the Government Code.
(5) Failure of a licensee to pay a fine within 30 days of the date of assessment of the fine, unless assessment of the fine or the citation is being appealed, may result in further legal action being taken by the State Department of Public Health. If a licensee does not contest a citation or pay the fine, the full amount of the fine shall be added to the fee for renewal of the license. A license shall not be renewed without payment of the renewal fee, including the amount of the fine.
(6) A citation may be issued without the assessment of an administrative fine.
(7) The State Department of Public Health may limit the assessment of administrative fines to only particular violations of this division and establish any other requirement for implementation of the citation system by regulation.
(b) Notwithstanding any other law, if a fine is paid to satisfy an assessment based on the finding of a violation, payment of the fine shall be represented as satisfactory resolution of the matter for purposes of public disclosure.",,,,
,,Seizure of Cannibis by Peace Officer ,,,,,§ 26135,"A peace officer, including a peace officer within the State Department of Public Health or the bureau, may seize cannabis and cannabis products in any of the following circumstances:
(a) The cannabis or cannabis product is subject to recall or embargo by any licensing authority.
(b) The cannabis or cannabis product is subject to destruction pursuant to this division.
(c) The cannabis or cannabis product is seized related to an investigation or disciplinary action for violation of this division.",,,,
MDH,,License Fees,,BPC,10,Chapter 18,§ 26180-81,,,,,
,,Establishment of Fee Scale ,,,,,§ 26180,"Each licensing authority shall establish a scale of application, licensing, and renewal fees, based upon the cost of enforcing this division, as follows:
(a) Each licensing authority shall charge each licensee a licensure and renewal fee, as applicable. The licensure and renewal fee shall be calculated to cover the costs of administering this division. The licensure fee may vary depending upon the varying costs associated with administering the various regulatory requirements of this division as they relate to the nature and scope of the different licensure activities, including, but not limited to, the track and trace program required pursuant to Section 26067, but shall not exceed the reasonable regulatory costs to the licensing authority.
(b) The total fees assessed pursuant to this division shall be set at an amount that will fairly and proportionately generate sufficient total revenue to fully cover the total costs of administering this division.
(c) All license fees shall be set on a scaled basis by the licensing authority, dependent on the size of the business.
(d) The licensing authority shall deposit all fees collected in a fee account specific to that licensing authority, to be established in the Cannabis Control Fund. Moneys in the licensing authority fee accounts shall be used, upon appropriation by the Legislature, by the designated licensing authority for the administration of this division",,,,
,,Safe Collection of Cash Payments for taxes & fees ,,,,,§ 26180.5,"No later than January 1, 2018, the Secretary of Business, Consumer Services, and Housing or his or her designee shall initiate work with the Legislature, the Department of Consumer Affairs, the Department of Food and Agriculture, the State Department of Public Health, and any other related departments to ensure that there is a safe and viable way to collect cash payments for taxes and fees related to the regulation of cannabis activity throughout the state.",,,,
,,Fees by other agencies to cover Cannibis costs ,,,,,§ 26181,"The State Water Resources Control Board, the Department of Fish and Wildlife, and other agencies may establish fees to cover the costs of their cannabis programs.",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BTV,,Track and Trace                                                                                                                                                                                               ,,,,,,,,06/27/2019,BTV,"(1) The Authorities: (a) The Department of Food and Agriculture (“the Department”), (i) State Water Resources Control Board, (ii) Department of Fish and Wildlife, (b) The Bureau of Cannabis Control, (c) The Department of Consumer Affairs, (d) California Department of Tax and Fee Administration; (2) The Program: (a) The track and trace program treats cannabis as an agricultural product, and you need a license from the Department to cultivate it (unless you’re cultivating 6 or less plants, are cultivating as a patient or caregiver under the Compassionate Use Act, or are a non-profit meeting specified conditions), (b) The program uses unique identifiers and secure packages to track cannabis products as they move through the distribution chain. It provides information on who cultivated what, who received it, and when. Cities and counties may institute their own unique identifier programs, but they cannot replace the CA state program, (c) The Department will permit or limit cultivation according to the environmental impact cultivation has in a given area, and has the power to create regulations to make the program effective. Suspicious activity will be flagged and investigated; (3) The Technology: (a) Database: Built and maintained by Consumer Affairs, it stores tracked data and licensing info, (b) Third-party Software: License-holders may use third-party software to comply with program requirements and the Department has to support it, allowing license-holders to work through a secure application programing interface (API). The API must have version control and update third-party vendors before version updates are released; (4) The Information: (a) Product variety, quantity or weight, categorization, departure and arrival times, and so on, (b) Confidential, but authorized regulators and licensing agencies have access to the information as is necessary to run the program. It must also be shared with law enforcement to assist them in regulating the program."
,,,,,,,,,,,,
,,Establishment of Track and Trace Program,,BPC,10,6.5,26067,,,,,
,,,,,,,(a)(1)-(3),"The department, in consultation with the bureau, shall establish a track and trace program for reporting the movement of cannabis and cannabis products throughout the distribution chain that utilizes a unique identifier pursuant to Section 26069, secure packaging, and is capable of providing information that captures, at a minimum, all of the following: (1) The licensee receiving the product; (2) The transaction date; (3) The cultivator from which the product originates, including the associated unique identifier pursuant to Section 26069.","The track and trace program uses unique identifiers and secure packages to track cannabis products as they move through the distribution chain, providing info on who cultivated it, who received it, and when. (1-3)",,,
,,,,,,,(b)(1)(A)-(F),"(1) The department, in consultation with the California Department of Tax and Fee Administration, shall create an electronic database containing the electronic shipping manifests to facilitate the administration of the track and trace program, which shall include, but not be limited to, the following information: (A) The variety and quantity or weight of products shipped; (B) The estimated times of departure and arrival; (C) The variety and quantity or weight of products received; (D)The actual time of departure and arrival; A categorization of the product; (F) The license number and the unique identifier pursuant to Section 26069 issued by the licensing authority for all licensees involved in the shipping process, including, but not limited to, cultivators, manufacturers, distributors, and dispensaries.","The Department of Consumer Affairs will build and maintain an electronic database with shipping manifests will contain: the product variety, quantity or weight, and categorization; departure and arrival times (estimated and actual); license number unique identifier for all licensees involved in the shipping process. (A-F)",,,
,,,,,,,(b)(2)(A)-(B),"(A) The database shall be designed to flag irregularities for all licensing authorities in this division to investigate. All licensing authorities pursuant to this division may access the database and share information related to licensees under this chapter, including social security and individual taxpayer identifications notwithstanding Section 30; (B) The department shall immediately inform the bureau upon the finding of an irregularity or suspicious finding related to a licensee, applicant, or commercial cannabis activity for investigatory purposes.",Suspicious findings and irregularities in the database will be flagged for proper investigation. Licensing authorities may access the database and share relevant license info (including Social Security numbers and taxpayer IDs). (A-B),,,
,,,,,,,(b)(3),"Licensing authorities and state and local agencies may, at any time, inspect shipments and request documentation for current inventory.",Licensing authorities and state and local agencies may inspect shipments and request documentation for current inventory at any time.,,,
,,,,,,,(b)(4),The bureau shall have 24-hour access to the electronic database administered by the department. The California Department of Tax and Fee Administration shall have read access to the electronic database for the purpose of taxation and regulation of cannabis and cannabis products.,"TTB has 24/7 database access, CA Dept. of Tax and Fee has read-only access (for tax and regulation purposes).",,,
,,,,,,,(b)(5),"The department shall be authorized to enter into memoranda of understandings with licensing authorities for data sharing purposes, as deemed necessary by the department.","The Department has the power to enter into memoranda of understandings with licensing authorities for data sharing purposes, as necessary.",,,
,,,,,,,(b)(6),"Information received and contained in records kept by the department or licensing authorities for the purposes of administering this chapter are confidential and shall not be disclosed pursuant to the California Public Records Act (Chapter 3.5 (commencing with Section 6250) of Division 7 of Title 1 of the Government Code), except as necessary for authorized employees of the State of California or any city, county, or city and county to perform official duties pursuant to this division or a local ordinance.","The records kept for the track and trace program are confidential and will not be disclosed except as necessary for authorities to perform their duties under the track and trace law, or a local ordinance.",,,
,,,,,,,(b)(7),"Upon the request of a state or local law enforcement agency, licensing authorities shall allow access to or provide information contained within the database to assist law enforcement in their duties and responsibilities pursuant to this division.",Licensing authorities can allow access to database information to state or local law enforcement agencies upon request to help them fulfill their duties as required by the track and trace law.,,,
,,,,,,,,,,,,
,,,,BPC,10,6.5,26068,,,,,
,,,,,,,(a),"The department, in consultation with the bureau and the California Department of Tax and Fee Administration, shall ensure that the track and trace program can also track and trace the amount of the cultivation tax due pursuant to Part 14.5 (commencing with Section 34010) of Division 2 of the Revenue and Taxation Code. The track and trace program shall include an electronic seed to sale software tracking system with data points for the different stages of commercial activity, including, but not limited to, cultivation, harvest, processing, distribution, inventory, and sale.","The track and trace program will include cultivation tax due. The program software will track data points of commercial activity from seed to store: cultivation, harvest, processing, distribution, inventory, and sale (with potentially more in-between).",,,
,,,,,,,(b),"The department, in consultation with the bureau, shall ensure that licensees under this division are allowed to use third-party applications, programs, and information technology systems to comply with the requirements of the expanded track and trace program described in subdivision (a) to report the movement of cannabis and cannabis products throughout the distribution chain and communicate the information to licensing agencies as required by law.","License-holders may use third-party applications, programs, and information technology systems to track required commercial activity.",,,
,,,,,,,(c),"Any software, database, or other information technology system utilized by the department to implement the expanded track and trace program shall support interoperability with third-party cannabis business software applications and allow all licensee-facing system activities to be performed through a secure application programming interface (API) or comparable technology that is well documented, bi-directional, and accessible to any third-party application that has been validated and has appropriate credentials. The API or comparable technology shall have version control and provide adequate notice of updates to third-party applications. The system should provide a test environment for third-party applications to access that mirrors the production environment.","Any information technology system used by the Department to run the track and trace program must support third-party software applications, and allow license-holders to work through a secure application programing interface (API) or similar that is compatible with validated and acceptable third-party applications. The API or similar must have version control and give sufficient notice of updates to third-party applications. The system should provide third-party applications a test environment.",,,
,,,,,,,,,,,,
,,,,BPC,10,6.5,26069,,,,,
,,,,,,,(a),"The department shall establish a Cannabis Cultivation Program to be administered by the secretary. The secretary shall administer this section as it pertains to the cultivation of cannabis. For purposes of this division, cannabis is an agricultural product.","The Department will create a Cannabis Cultivation Program, and will be treated as an agriculture product as related to track and trace.",,,
,,,,,,,(b),A person or entity shall not cultivate cannabis without first obtaining a state license issued by the Department.,You need a license from the Department to cultivate cannabis.,,,
,,,,,,,(c)(1),"The department, in consultation with, but not limited to, the bureau, shall implement a unique identification program for cannabis. In implementing the program, the department shall consider issues including, but not limited to, water use and environmental impacts. If the State Water Resources Control Board or the Department of Fish and Wildlife finds, based on substantial evidence, that cannabis cultivation is causing significant adverse impacts on the environment in a watershed or other geographic area, the department shall not issue new licenses or increase the total number of plant identifiers within that watershed or area.","The State will implement a unique identification program for cannabis, which will, among other things, consider water use and environmental impact. If cultivation adversely impacts the environment, no new licenses will be issued, nor will the number of identifiers increase, for the area.",,,
